x coord, y coord, tag, u, v, m, rho, p, a1, a2
0.050000,1.400000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.450000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.500000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.550000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.600000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.650000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.700000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.750000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.800000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.850000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.900000,0,-0.002097,0.000504,3.557845,933.250804,0.000000,-26.276919,6.318623
0.050000,1.950000,0,0.004977,0.000504,3.557845,919.863335,0.000000,62.351377,6.318623
0.050000,2.000000,0,0.006264,-0.000783,3.557845,832.840623,0.000000,78.480000,-9.810000
0.100000,0.050000,0,-0.001287,-0.009307,3.557845,944.298422,0.000000,-16.128623,-116.607639
0.100000,0.100000,0,-0.001933,-0.002716,3.557845,1049.395198,20559.875643,-24.219860,-34.029860
0.100000,0.150000,0,0.000467,0.001785,3.557845,1023.094423,10239.451619,5.844636,22.359122
0.100000,0.200000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,0.250000,0,0.001751,0.002754,3.557845,1023.094423,10239.451619,21.937367,34.504148
0.100000,0.300000,0,0.001751,-0.004320,3.557845,1023.094423,10239.451619,21.937367,-54.124148
0.100000,0.350000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,0.400000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,0.450000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,0.500000,0,0.001751,0.002754,3.557845,1023.094423,10239.451619,21.937367,34.504148
0.100000,0.550000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,0.600000,0,0.001751,-0.004320,3.557845,1023.094423,10239.451619,21.937367,-54.124148
0.100000,0.650000,0,0.001751,0.002754,3.557845,1023.094423,10239.451619,21.937367,34.504148
0.100000,0.700000,0,0.001751,-0.004320,3.557845,1023.094423,10239.451619,21.937367,-54.124148
0.100000,0.750000,0,0.001751,0.002754,3.557845,1023.094423,10239.451619,21.937367,34.504148
0.100000,0.800000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,0.850000,0,0.001751,-0.004320,3.557845,1023.094423,10239.451619,21.937367,-54.124148
0.100000,0.900000,0,0.001751,0.002754,3.557845,1023.094423,10239.451619,21.937367,34.504148
0.100000,0.950000,0,0.001751,-0.004320,3.557845,1023.094423,10239.451619,21.937367,-54.124148
